Sr. No.,Symbol,Company Name,"Market capitalization as on March 28, 2024
(In lakhs)"
376.0,DCMSHRIRAM,DCM Shriram Limited,1332137.06358
377.0,ASTRAZEN,AstraZeneca Pharma India Limited,1332112.5
378.0,ZEEL,Zee Entertainment Enterprises Limited,1330799.65641
379.0,BEML,BEML Limited,1325835.9465
380.0,HFCL,HFCL Limited,1320793.441416
381.0,RAINBOW,Rainbow Childrens Medicare Limited,1317035.1396685
382.0,ABSLAMC,Aditya Birla Sun Life AMC Limited,1310809.07685
383.0,HONASA,Honasa Consumer Limited,1304758.487768
384.0,ASAHIINDIA,Asahi India Glass Limited,1303812.8449185002
385.0,PVRINOX,PVR INOX Limited,1301508.090075
386.0,ARE&M,Amara Raja Energy & Mobility Limited,1298858.25
387.0,IIFL,IIFL Finance Limited,1297646.227435
388.0,BLS,BLS International Services Limited,1288131.430678
389.0,ALOKINDS,Alok Industries Limited,1283514.6436585002
390.0,VTL,Vardhman Textiles Limited,1279020.1404
391.0,GRINFRA,G R Infraprojects Limited,1264885.62882
392.0,HBLPOWER,HBL Power Systems Limited,1258465.05484
393.0,WESTLIFE,WESTLIFE FOODWORLD LIMITED,1254428.4793425
394.0,RKFORGE,Ramkrishna Forgings Limited,1249615.3373375
395.0,KIRLOSENG,Kirloskar Oil Engines Limited,1245822.674667
396.0,TITAGARH,TITAGARH RAIL SYSTEMS LIMITED,1237651.92792
397.0,FINEORG,Fine Organic Industries Limited,1237084.0416360002
398.0,AMBER,Amber Enterprises India Limited,1232415.598787
399.0,BIKAJI,Bikaji Foods International Limited,1227999.40181
400.0,SWSOLAR,Sterling and Wilson Renewable Energy Limited,1219488.0563775
401.0,RAYMOND,Raymond Limited,1203852.777673
402.0,IEX,Indian Energy Exchange Limited,1197989.1894725
403.0,SPARC,Sun Pharma Advanced Research Company Limited,1195131.872114
404.0,GRAPHITE,Graphite India Limited,1179189.397587
405.0,SPLPETRO,Supreme Petrochem Limited,1174224.160119
406.0,RAILTEL,Railtel Corporation Of India Limited,1167413.4554625
407.0,INGERRAND,Ingersoll Rand (India) Limited,1161812.888
408.0,ECLERX,eClerx Services Limited,1160577.34728
409.0,JUNIPER,Juniper Hotels Limited,1151561.088392
410.0,ERIS,Eris Lifesciences Limited,1147194.49938
